notificacao_id,client_id,client_name,origem_notificacao,referencia_origem,tipo_notificacao,titulo,mensagem,status_notificacao,canal_sugerido,requer_revisao_humana,data_criacao,data_envio
COM_EXT-FLUXAI-2026-06-002,FLUXAI_LABS_001,FluxAI Labs,servico_extra,EXT-FLUXAI-2026-06-002,servico_extra_aprovado,Serviço extra aprovado,"O serviço extra ""Configuração Avançada de CRM"" foi aprovado e entrou na fila operacional da FluxAI. A equipe dará sequência conforme o prazo combinado.",rascunho_fluxai,portal_cliente,sim,2026-06-06 22:22:27,
COM_EXT-FLUXAI-2026-06-004,FLUXAI_LABS_001,FluxAI Labs,servico_extra,EXT-FLUXAI-2026-06-004,servico_extra_aprovado,Serviço extra aprovado,"O serviço extra ""Configuração Avançada de CRM — Homologação 004"" foi aprovado e entrou na fila operacional da FluxAI. A equipe dará sequência conforme o prazo combinado.",rascunho_fluxai,portal_cliente,sim,2026-06-07 09:40:35,
COM_SE_TESTE_10_COM_IA_002,FLUXAI_LABS_001,FluxAI Labs,servico_extra,SE_TESTE_10_COM_IA_002,servico_extra_aprovado,Serviço extra aprovado,"O serviço extra ""Teste serviço extra com IA"" foi aprovado e entrou na fila operacional da FluxAI. A equipe dará sequência conforme o prazo combinado.",rascunho_fluxai,portal_cliente,sim,2026-06-07 23:07:57,
COM_SE_TESTE_10_SEM_IA_001,FLUXAI_LABS_001,FluxAI Labs,servico_extra,SE_TESTE_10_SEM_IA_001,servico_extra_aprovado,Serviço extra aprovado,"O serviço extra ""Teste serviço extra sem IA"" foi aprovado e entrou na fila operacional da FluxAI. A equipe dará sequência conforme o prazo combinado.",rascunho_fluxai,portal_cliente,sim,2026-06-07 22:59:08,
COM_SRV_EXTRA_TESTE_2026_06_001,FLUXAI_LABS_001,FluxAI Labs,servico_extra,SRV_EXTRA_TESTE_2026_06_001,servico_extra_aprovado,Serviço extra aprovado,"O serviço extra ""Carrossel extra de teste controlado"" foi aprovado e entrou na fila operacional da FluxAI. A equipe dará sequência conforme o prazo combinado.",rascunho_fluxai,revisao_interna,sim,2026-06-17 17:55:20,
COM_SRV_FLX_001,FLUXAI_LABS_001,FluxAI Labs,servico_extra,SRV_FLX_001,servico_extra_aprovado,Serviço extra aprovado,"O serviço extra ""Serviço Personalizado"" foi aprovado e entrou na fila operacional da FluxAI. A equipe dará sequência conforme o prazo combinado.",rascunho_fluxai,portal_cliente,sim,2026-06-27 11:48:38,
COM_SRV_FLX_002,CLI_002,Empresa Alpha,servico_extra,SRV_FLX_002,servico_extra_aprovado,Serviço extra aprovado,"O serviço extra ""Serviço Personalizado"" foi aprovado e entrou na fila operacional da FluxAI. A equipe dará sequência conforme o prazo combinado.",rascunho_fluxai,portal_cliente,sim,2026-06-27 12:00:09,
COM_SRV_FLX_003,FLUXAI_LABS_001,FluxAI Labs,servico_extra,SRV_FLX_003,servico_extra_aprovado,Serviço extra aprovado,"O serviço extra ""Serviço Personalizado"" foi aprovado e entrou na fila operacional da FluxAI. A equipe dará sequência conforme o prazo combinado.",rascunho_fluxai,portal_cliente,sim,2026-06-27 10:37:18,
